Key,Value
1,{"s_no": 5710; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 16; "temperature": 80; "wind_speed": 25}}
2,{"s_no": 5687; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 66; "temperature": 9; "wind_speed": 3}}
3,{"s_no": 5603; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 83; "temperature": 139; "wind_speed": 32}}
4,{"s_no": 5689; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 25; "temperature": 4; "wind_speed": 8}}
5,{"s_no": 5656; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 60; "temperature": 89; "wind_speed": 10}}
6,{"s_no": 5668; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 55; "temperature": 99; "wind_speed": 8}}
7,{"s_no": 5706; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 69; "temperature": 115; "wind_speed": 46}}
8,{"s_no": 5636; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 97; "temperature": 22; "wind_speed": 21}}
9,{"s_no": 5702; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 95; "temperature": 22; "wind_speed": 9}}
10,{"s_no": 5542; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 42; "temperature": 119; "wind_speed": 45}}
11,{"s_no": 5709; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 15; "temperature": 96; "wind_speed": 48}}
12,{"s_no": 5637; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 30; "temperature": 110; "wind_speed": 42}}
13,{"s_no": 5679; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 5; "temperature": 136; "wind_speed": 27}}
14,{"s_no": 5610; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 50; "temperature": 112; "wind_speed": 41}}
15,{"s_no": 5549; "battery_status": "low"; "status_timestamp": 1747950325; "weather": {"humidity": 4; "temperature": 36; "wind_speed": 8}}
16,{"s_no": 5470; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 71; "temperature": 13; "wind_speed": 0}}
17,{"s_no": 5685; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 58; "temperature": 113; "wind_speed": 44}}
18,{"s_no": 5650; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 30; "temperature": 71; "wind_speed": 17}}
19,{"s_no": 5669; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 45; "temperature": 75; "wind_speed": 48}}
20,{"s_no": 5661; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 12; "temperature": 36; "wind_speed": 24}}
21,{"s_no": 5539; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 25; "temperature": 123; "wind_speed": 27}}
22,{"s_no": 5691; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 73; "temperature": 61; "wind_speed": 26}}
23,{"s_no": 5673; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 15; "temperature": 88; "wind_speed": 6}}
24,{"s_no": 5692; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 21; "temperature": 28; "wind_speed": 31}}
25,{"s_no": 5686; "battery_status": "high"; "status_timestamp": 1747950326; "weather": {"humidity": 60; "temperature": 28; "wind_speed": 43}}
26,{"s_no": 5489; "battery_status": "low"; "status_timestamp": 1747950325; "weather": {"humidity": 28; "temperature": 72; "wind_speed": 14}}
27,{"s_no": 5612; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 18; "temperature": 62; "wind_speed": 23}}
28,{"s_no": 5681; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 44; "temperature": 8; "wind_speed": 2}}
29,{"s_no": 5695; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 44; "temperature": 14; "wind_speed": 36}}
30,{"s_no": 5688; "battery_status": "low"; "status_timestamp": 1747950326; "weather": {"humidity": 36; "temperature": 42; "wind_speed": 28}}
31,{"s_no": 5598; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 54; "temperature": 15; "wind_speed": 44}}
32,{"s_no": 5630; "battery_status": "medium"; "status_timestamp": 1747950326; "weather": {"humidity": 47; "temperature": 49; "wind_speed": 26}}
33,{"s_no": 5577; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 11; "temperature": 121; "wind_speed": 41}}
34,{"s_no": 5538; "battery_status": "high"; "status_timestamp": 1747950325; "weather": {"humidity": 52; "temperature": 17; "wind_speed": 6}}
